name,slug,industry,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,google_website,google_phone,google_address,web_search_website,web_search_confidence
Watch-Tech,watch-tech-lake-forest,home_services,"23647, El Toro Road, Lake Forest, CA, 92630",Lake Forest,+1-949-859-4411,https://www.facebook.com/watchtechlf/,social_or_directory_only,openstreetmap,approved,approved,Manual verify: Facebook/Yelp/MapQuest only; no standalone domain,https://www.google.com/maps/search/?api=1&query=Watch-Tech+23647%2C+El+Toro+Road%2C+Lake+Forest%2C+CA%2C+92630+CA,,,,,manual
Pro Mufflers & Brakes,pro-mufflers-brakes-midway-city,auto,"15142, Beach Boulevard, Midway City, CA",Midway City,+1-714-897-1122,http://promufflersandbrakes.net,website_url_not_reachable,openstreetmap,approved,approved,Manual verify: promuffler.net / promufflersandbrakes.net dead; directories only,https://www.google.com/maps/search/?api=1&query=Pro+Mufflers+%26+Brakes+15142%2C+Beach+Boulevard%2C+Midway+City%2C+CA+CA,,,,,manual
RECO Construction,reco-construction-westminster,home_services,"14600, Goldenwest Street, Westminster, CA",Westminster,+1-714-898-2683,,no_website_listed,openstreetmap,approved,approved,Manual verify: recoconstruction.com is Alberta Canada; OC location has no site,https://www.google.com/maps/search/?api=1&query=RECO+Construction+14600%2C+Goldenwest+Street%2C+Westminster%2C+CA+CA,,,,,manual
My L&J Insurance Services,my-l-j-insurance-services-lake-forest,professional,"23532, El Toro Road, Lake Forest, CA, 92630",Lake Forest,+1 949-707-1172,,no_website_listed,openstreetmap,approved,approved,Manual verify: directories/LinkedIn only; no own domain,https://www.google.com/maps/search/?api=1&query=My+L%26J+Insurance+Services+23532%2C+El+Toro+Road%2C+Lake+Forest%2C+CA%2C+92630+CA,,,,,manual
Rẻ Nhất Cali,r-nh-t-cali-garden-grove,home_services,"13900, Brookhurst Street, Garden Grove, CA, 92843",Garden Grove,+1-714-908-7077,https://re-nhat-cali-phone-repair.business.site/,social_or_directory_only,openstreetmap,approved,approved,Manual verify: Google business.site only; no own domain,https://www.google.com/maps/search/?api=1&query=R%E1%BA%BB+Nh%E1%BA%A5t+Cali+13900%2C+Brookhurst+Street%2C+Garden+Grove%2C+CA%2C+92843+CA,,,,,manual
Nu Trend Homes,nu-trend-homes-costa-mesa,professional,"1599, Superior Ave, Costa Mesa, CA, 92627",Costa Mesa,+1 714-315-2660,,no_website_listed,openstreetmap,approved,approved,Manual verify: costamesadirect.us hosted profile only; no own domain,https://www.google.com/maps/search/?api=1&query=Nu+Trend+Homes+1599%2C+Superior+Ave%2C+Costa+Mesa%2C+CA%2C+92627+CA,,,,,manual
"Quality Building Maintenance, Inc.",quality-building-maintenance-inc-garden-grove,professional,"8521, Devon Lane, Garden Grove, CA, 92844",Garden Grove,+1-714-761-7100,http://qualitybuildingmaintenanceinc.com,website_url_not_reachable,openstreetmap,approved,approved,Manual verify: gardengrovedirect.us profile; qualitybuildingmaintenanceinc.com not live,https://www.google.com/maps/search/?api=1&query=Quality+Building+Maintenance%2C+Inc.+8521%2C+Devon+Lane%2C+Garden+Grove%2C+CA%2C+92844+CA,,,,,manual
Gutierrez & Nguyen Law Center,gutierrez-nguyen-law-center-westminster,professional,"9842, Bolsa Avenue, Westminster, CA",Westminster,,,no_website_listed,openstreetmap,approved,approved,Manual verify: no dedicated website found for this Westminster firm,https://www.google.com/maps/search/?api=1&query=Gutierrez+%26+Nguyen+Law+Center+9842%2C+Bolsa+Avenue%2C+Westminster%2C+CA+CA,,,,,manual
"Karen Schipani - Tedrahn, MFT",karen-schipani-tedrahn-mft-fullerton,professional,"2290, North State College Boulevard, Fullerton, CA, 92831",Fullerton,+1-714-240-5070,http://heartcenteredcounseling.com,website_url_not_reachable,openstreetmap,approved,approved,Manual verify: fullertondirect.us profile; heartcenteredcounseling.com not live,https://www.google.com/maps/search/?api=1&query=Karen+Schipani+-+Tedrahn%2C+MFT+2290%2C+North+State+College+Boulevard%2C+Fullerton%2C+CA%2C+92831+CA,,,,,manual
Rainbow Auto Center,rainbow-auto-center-garden-grove,auto,"13961, Enterprise Drive, Garden Grove, CA, 92843",Garden Grove,+1-714-554-7788,,no_website_listed,openstreetmap,approved,approved,Manual verify: rainbowautocenter.com is Hayward CA; Garden Grove shop has no site,https://www.google.com/maps/search/?api=1&query=Rainbow+Auto+Center+13961%2C+Enterprise+Drive%2C+Garden+Grove%2C+CA%2C+92843+CA,,,,,manual
