name,slug,industry,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,google_website,google_phone,google_address,trade,region,web_search_website,web_search_confidence
24/7 Plumbers and Rooters Inc,24-7-plumbers-and-rooters-inc-glendale,home_services,"2536 St Andrews Dr, Glendale, CA 91206",Glendale,(747) 335-0901,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=5676982852459525118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(747) 335-0901,"2536 St Andrews Dr, Glendale, CA 91206",plumber,socal,,google
24/7 Pro-Rooter/Plumbing,24-7-pro-rooter-plumbing-compton,home_services,"13008 S Harris Ave, Compton, CA 90221",Compton,(310) 346-0898,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=14933983391549518054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(310) 346-0898,"13008 S Harris Ave, Compton, CA 90221",plumber,socal,,google
626 Plumbing,626-plumbing-covina,home_services,"631 N Charter Dr, Covina, CA 91724",Covina,(626) 626-6971,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=7233580958261275406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(626) 626-6971,"631 N Charter Dr, Covina, CA 91724",plumber,socal,,google
911 Plumbing & Drain Rescue Inc.,911-plumbing-drain-rescue-inc-escondido,home_services,"1026 W El Norte Pkwy #42, Escondido, CA 92026",Escondido,(619) 223-0911,https://911plumbingsd.wixsite.com/javiert,social_or_directory_only,google_places,approved,approved,Google website is social/directory only: https://911plumbingsd.wixsite.com/javiert,https://maps.google.com/?cid=13475565938803879051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://911plumbingsd.wixsite.com/javiert,(619) 223-0911,"1026 W El Norte Pkwy #42, Escondido, CA 92026",plumber,socal,https://911plumbingsd.wixsite.com/javiert,google
A & J Plumbing & Water Heater Repair LLC,a-j-plumbing-water-heater-repair-llc-carson,home_services,"17420 Avalon Blvd #579, Carson, CA 90746",Carson,(310) 841-2970,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=12277178054990479477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(310) 841-2970,"17420 Avalon Blvd #579, Carson, CA 90746",plumber,socal,,google
A Plumbing Lake Elsinore Services,a-plumbing-lake-elsinore-services-lake-elsinore,home_services,"16331 Lakeshore Dr #101, Lake Elsinore, CA 92530",Lake Elsinore,(951) 614-2467,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=12298794802946505455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(951) 614-2467,"16331 Lakeshore Dr #101, Lake Elsinore, CA 92530",plumber,socal,,google
A Rivas Plumbing,a-rivas-plumbing-san-clemente,home_services,"63 Via Pico Plaza #220, San Clemente, CA 92672",San Clemente,(949) 498-3727,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13611502157828996903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(949) 498-3727,"63 Via Pico Plaza #220, San Clemente, CA 92672",plumber,socal,,google
A&B Plumbing,a-b-plumbing-norwalk,home_services,"10913 Hayford St, Norwalk, CA 90650",Norwalk,(562) 278-6801,https://aandbplumbing.godaddysites.com/,social_or_directory_only,google_places,approved,approved,Google website is social/directory only: https://aandbplumbing.godaddysites.com/,https://maps.google.com/?cid=1450523219177210159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://aandbplumbing.godaddysites.com/,(562) 278-6801,"10913 Hayford St, Norwalk, CA 90650",plumber,socal,https://aandbplumbing.godaddysites.com/,google
A-1 Plumbing Sewer & Drain Experts,a-1-plumbing-sewer-drain-experts-el-cajon,home_services,"910 E Chase Ave, El Cajon, CA 92020",El Cajon,(619) 588-8500,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=4482062044799346446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(619) 588-8500,"910 E Chase Ave, El Cajon, CA 92020",plumber,socal,,google
AAA Goforth Plumbing,aaa-goforth-plumbing-ramona,home_services,"640 B St, Ramona, CA 92065",Ramona,(619) 281-3137,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13962243971470674506&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(619) 281-3137,"640 B St, Ramona, CA 92065",plumber,socal,,google
