name,slug,industry,trade,region,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,google_website,google_phone,google_address,web_search_website,web_search_confidence
1-Tom-Plumber,1-tom-plumber-anaheim,home_services,plumber,socal,"2840 E White Star Ave Suite 225, Anaheim, CA 92806",Anaheim,(714) 406-1105,https://www.1tomplumber.com/anaheim-brea-ca/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://www.1tomplumber.com/anaheim-brea-ca/. Google lists website: https://www.1tomplumber.com/anaheim-brea-ca/,https://maps.google.com/?cid=18182185534570252202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.1tomplumber.com/anaheim-brea-ca/,(714) 406-1105,"2840 E White Star Ave Suite 225, Anaheim, CA 92806",https://www.1tomplumber.com/anaheim-brea-ca/,high
"1st Choice Plumbing, Flood & Restoration",1st-choice-plumbing-flood-restoration-oceanside,home_services,plumber,socal,"4083 Oceanside Blvd Suite K, Oceanside, CA 92056",Oceanside,(760) 453-5303,https://www.1stchoiceplumbingsd.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://www.1stchoiceplumbingsd.com/. Google lists website: https://www.1stchoiceplumbingsd.com/,https://maps.google.com/?cid=9112783830003825829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.1stchoiceplumbingsd.com/,(760) 453-5303,"4083 Oceanside Blvd Suite K, Oceanside, CA 92056",https://www.1stchoiceplumbingsd.com/,high
"1st Response Plumber, Water Damage Restoration, Leak Detection of San Diego",1st-response-plumber-water-damage-restoration-leak-detection,home_services,plumber,socal,"301 W 28th St # L, National City, CA 91950",National City,(858) 203-0930,https://1stresponseplumber.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://1stresponseplumber.com/. Google lists website: https://1stresponseplumber.com/,https://maps.google.com/?cid=18432526033283658445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://1stresponseplumber.com/,(858) 203-0930,"301 W 28th St # L, National City, CA 91950",https://1stresponseplumber.com/,high
211 Plumbing & Drains,211-plumbing-drains-vista,home_services,plumber,socal,"2244 S Santa Fe Ave C-16, Vista, CA 92084",Vista,(760) 557-9413,https://211-plumbing.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://211-plumbing.com/. Google lists website: https://211-plumbing.com/,https://maps.google.com/?cid=2829580868882750349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://211-plumbing.com/,(760) 557-9413,"2244 S Santa Fe Ave C-16, Vista, CA 92084",https://211-plumbing.com/,high
24 Hour Express Services Inc.,24-hour-express-services-inc-murrieta,home_services,plumber,socal,"26059 Jefferson Ave, Murrieta, CA 92562",Murrieta,(951) 383-6268,https://www.24hourexpressplumbingservices.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://www.24hourexpressplumbingservices.com/. Google lists website: https://www.24hourexpressplumbingservices.com/,https://maps.google.com/?cid=928222410019789467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.24hourexpressplumbingservices.com/,(951) 383-6268,"26059 Jefferson Ave, Murrieta, CA 92562",https://www.24hourexpressplumbingservices.com/,high
24 Rooter & Plumbing Inc,24-rooter-plumbing-inc-upland,home_services,plumber,socal,"2315 W Foothill Blvd suite 2, Upland, CA 91786",Upland,(840) 242-2424,https://24rooterplumbing.com/plumber-in-upland%2C-ca,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://24rooterplumbing.com/plumber-in-upland%2C-ca. Google lists website: https://24rooterplumbing.com/plumber-in-upland%2C-ca,https://maps.google.com/?cid=13940585757804860192&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://24rooterplumbing.com/plumber-in-upland%2C-ca,(840) 242-2424,"2315 W Foothill Blvd suite 2, Upland, CA 91786",https://24rooterplumbing.com/plumber-in-upland%2C-ca,high
"24 Rooter & Plumbing, Inc.",24-rooter-plumbing-inc-claremont,home_services,plumber,socal,"3628 Lynoak Dr #201, Claremont, CA 91711",Claremont,(626) 322-1538,https://24rooterplumbing.com/plumber-in-claremont%2C-ca,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://24rooterplumbing.com/plumber-in-claremont%2C-ca. Google lists website: https://24rooterplumbing.com/plumber-in-claremont%2C-ca,https://maps.google.com/?cid=8554463006370704366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://24rooterplumbing.com/plumber-in-claremont%2C-ca,(626) 322-1538,"3628 Lynoak Dr #201, Claremont, CA 91711",https://24rooterplumbing.com/plumber-in-claremont%2C-ca,high
"24/7 Drain Rooter, Inc.",24-7-drain-rooter-inc-la-mesa,home_services,plumber,socal,"4125 Calavo Dr, La Mesa, CA 91941",La Mesa,(619) 204-9375,https://fixdrains.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://fixdrains.com/. Google lists website: https://fixdrains.com/,https://maps.google.com/?cid=3851987838498807000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://fixdrains.com/,(619) 204-9375,"4125 Calavo Dr, La Mesa, CA 91941",https://fixdrains.com/,high
24/7 Rooter Service,24-7-rooter-service-los-angeles,home_services,plumber,socal,"211 La Fayette Park Pl #101, Los Angeles, CA 90057",Los Angeles,(213) 281-4751,https://www.247rooterservice.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: https://www.247rooterservice.com/. Google lists website: https://www.247rooterservice.com/,https://maps.google.com/?cid=15544775310613929375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.247rooterservice.com/,(213) 281-4751,"211 La Fayette Park Pl #101, Los Angeles, CA 90057",https://www.247rooterservice.com/,high
3 Ten Plumbing,3-ten-plumbing-torrance,home_services,plumber,socal,"2802 Winlock Rd, Torrance, CA 90505",Torrance,(310) 461-9691,http://www.3tenplumbing.com/,live_website_found,google_places,rejected,rejected_has_website,Live website found via listed: http://www.3tenplumbing.com/. Google lists website: http://www.3tenplumbing.com/,https://maps.google.com/?cid=10568534072319578690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.3tenplumbing.com/,(310) 461-9691,"2802 Winlock Rd, Torrance, CA 90505",http://www.3tenplumbing.com/,high
