name,slug,industry,trade,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,region
Donnie Underwood Plumbing,donnie-underwood-plumbing-abilene,home_services,plumber,"1441 Woodard St, Abilene, TX 79605",Abilene,(325) 698-4911,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=13140062934377190609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Storybook Plumbing Solutions,storybook-plumbing-solutions-abilene,home_services,plumber,"731 Walnut St, Abilene, TX 79601",Abilene,(325) 238-7320,http://storybookplumbingsolutions.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Abilene),https://maps.google.com/?cid=8897625315332443342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
T&T Plumbing,t-t-plumbing-abilene,home_services,plumber,"3478 Catclaw Dr #194, Abilene, TX 79606",Abilene,(325) 529-3162,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=257456628761728380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
The Plumbing Doctor,the-plumbing-doctor-abilene,home_services,plumber,"650 E N 22nd St, Abilene, TX 79601",Abilene,(325) 484-4090,,no_website,google_places,approved,approved,TX batch — no_website (Abilene),https://maps.google.com/?cid=13506022867915219778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
In-House Plumbing Company,in-house-plumbing-company-allen,home_services,plumber,"5903 Curtis Dr, Allen, TX 75002",Allen,(972) 992-1767,http://www.inhouseplumbingcompany.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Richardson),https://maps.google.com/?cid=15184127528122818688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Willis Plumbing Heating & AC,willis-plumbing-heating-ac-amarillo,home_services,plumber,"722 S Arthur St, Amarillo, TX 79102",Amarillo,(806) 374-4551,https://willisplumbing.co/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Amarillo),https://maps.google.com/?cid=792524721478005266&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Arlington Plumbing Co,arlington-plumbing-co-arlington,home_services,plumber,"1112 E Copeland Rd Ste 120, Arlington, TX 76011",Arlington,(682) 217-1114,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=4776198345230770325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Direct Source Plumbing,direct-source-plumbing-arlington,home_services,plumber,"3216 W Park Row Dr, Arlington, TX 76013",Arlington,(817) 561-6400,https://directsourceplumbing.com/,website_url_not_reachable,google_places,approved,approved,TX batch — website_url_not_reachable (Arlington),https://maps.google.com/?cid=4680488713154941287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Quick Fix Plumbers Arlington TX,quick-fix-plumbers-arlington-tx-arlington,home_services,plumber,"2529 W Arkansas Ln, Arlington, TX 76016",Arlington,(817) 242-5538,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=9175752389454926306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
Top Plumbing Experts Arlington,top-plumbing-experts-arlington-arlington,home_services,plumber,"801 E Park Row Dr, Arlington, TX 76010",Arlington,(682) 297-6526,,no_website,google_places,approved,approved,TX batch — no_website (Arlington),https://maps.google.com/?cid=10752348519835805561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,texas
