company_name,slug,phone,address,city,state,zip,website,has_website,website_category,google_maps_url,business_status,source,discovery_city,discovery_query,license_number,license_status,license_expiration,county,contact_name,crossref_confidence,tsbpe_verified,phone_match,address_match,crossref_notes
Pickell Plumbing LLC,pickell-plumbing-llc-round-rock,(512) 825-8434,"2501 Louis Henna Blvd, Round Rock, TX 78664",Round Rock,TX,78664,,False,no_website,https://maps.google.com/?cid=3213692618444035292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Round Rock,plumber in Round Rock Texas,,,,,,,False,,,
Storybook Plumbing Solutions,storybook-plumbing-solutions-abilene,(325) 238-7320,"731 Walnut St, Abilene, TX 79601",Abilene,TX,79601,http://storybookplumbingsolutions.com/,False,website_url_not_reachable,https://maps.google.com/?cid=8897625315332443342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Abilene,plumber in Abilene Texas,,,,,,,False,,,
T&T Plumbing,t-t-plumbing-abilene,(325) 529-3162,"3478 Catclaw Dr #194, Abilene, TX 79606",Abilene,TX,79606,,False,no_website,https://maps.google.com/?cid=257456628761728380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Abilene,plumber in Abilene Texas,,,,,,,False,,,
The Plumbing Doctor,the-plumbing-doctor-abilene,(325) 484-4090,"650 E N 22nd St, Abilene, TX 79601",Abilene,TX,79601,,False,no_website,https://maps.google.com/?cid=13506022867915219778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Abilene,plumber in Abilene Texas,,,,,,,False,,,
Donnie Underwood Plumbing,donnie-underwood-plumbing-abilene,(325) 698-4911,"1441 Woodard St, Abilene, TX 79605",Abilene,TX,79605,,False,no_website,https://maps.google.com/?cid=13140062934377190609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Abilene,plumbing company Abilene Texas,,,,,,,False,,,
Texas Plumbing Solutions LLC,texas-plumbing-solutions-llc-richardson,(214) 418-4964,"500 E Arapaho Rd Ste 603, Richardson, TX 75081",Richardson,TX,75081,https://friscotxplumbers.com/,False,website_url_not_reachable,https://maps.google.com/?cid=1092828464651696736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Richardson,plumber in Richardson Texas,,,,,,,False,,,
Sawyer Brothers Plumber's Service Co,sawyer-brothers-plumber-s-service-co-richardson,(972) 203-6550,"2929 N Central Expy #957, Richardson, TX 75080",Richardson,TX,75080,,False,no_website,https://maps.google.com/?cid=3932202482829099009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Richardson,plumber in Richardson Texas,,,,,,,False,,,
Texas Green Plumbing,texas-green-plumbing-richardson,(972) 498-1047,"1300 E Arapaho Rd #101, Richardson, TX 75081",Richardson,TX,75081,,False,no_website,https://maps.google.com/?cid=14753332162216721026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Richardson,plumber in Richardson Texas,,,,,,,False,,,
Richardson Plumbing Sewer Air Conditioning Electrical & Air-Duct Cleaning Co,richardson-plumbing-sewer-air-conditioning-electrical-air-du,(469) 898-6929,"504 N Coit Rd #1280, Richardson, TX 75080",Richardson,TX,75080,,False,no_website,https://maps.google.com/?cid=5860040027179343401&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Richardson,plumbing company Richardson Texas,,,,,,,False,,,
In-House Plumbing Company,in-house-plumbing-company-allen,(972) 992-1767,"5903 Curtis Dr, Allen, TX 75002",Allen,TX,75002,http://www.inhouseplumbingcompany.com/,False,website_url_not_reachable,https://maps.google.com/?cid=15184127528122818688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Richardson,plumbing company Richardson Texas,,,,,,,False,,,
Don's Plumbing,don-s-plumbing-odessa,(432) 333-9826,"120 Monticello Dr, Odessa, TX 79763",Odessa,TX,79763,,False,no_website,https://maps.google.com/?cid=11589880394767170118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Odessa,plumber in Odessa Texas,,,,,,,False,,,
