company_name,slug,phone,address,city,state,zip,county,website,has_website,google_maps_url,business_status,license_number,license_status,license_expiration,contact_name,confirmation_level,confirmation_source,confirmation_notes,tsbpe_verified,phone_match,address_match
ADVANTAGE PLUMBING CO,advantage-plumbing-co-borger,(806) 395-8270,"618 N. FLORIDA ST., BORGER, TX 79007",Borger,TX,79007,HUTCHINSON,,False,https://maps.google.com/?cid=17333371608818803778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,28874,Current,07/31/2027,WILLIAM CLINE,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
BALLEW PLUMBING COMPANY,ballew-plumbing-company-rusk,(903) 683-4455,"129 FM 1248, RUSK, TX 75785",Rusk,TX,75785,CHEROKEE,,False,https://maps.google.com/?cid=11355481338135245167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,15327,Current,11/30/2026,EDWIN BALLEW,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
BAR-B PLUMBING CO INC,bar-b-plumbing-co-inc-kempner,(254) 547-2493,"3330 Lois Ln, Kempner, TX 76539",Kempner,TX,76539,LAMPASAS,,False,https://maps.google.com/?cid=2041022636812706927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18915,Current,02/28/2027,EDWARD BARBEE,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
BARTSCH SERVICES INC,bartsch-services-inc-the-woodlands,(281) 364-1944,"1440  LAKE FRONT CIRCLE, SUITE 155, THE WOODLANDS, TX 77380",The Woodlands,TX,77380,MONTGOMERY,,False,https://maps.google.com/?cid=14114866169545027570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37279,Current,07/31/2026,JEFFERY BARTSCH,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
DAN'S ALL AMERICAN PLUMBING LLC,dan-s-all-american-plumbing-llc-kirbyville,(409) 423-5773,"1033 Co Rd 407, Kirbyville, TX 75956",Kirbyville,TX,75956,JASPER,,False,https://maps.google.com/?cid=542009835207468825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,17203,Current,08/31/2026,DANNY PETERS,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
DANNY HRNCIRIK ELECTRIC,danny-hrncirik-electric-seymour,(940) 889-8843,"406 S Tackitt St, Seymour, TX 76380",Seymour,TX,76380,BAYLOR,,False,https://maps.google.com/?cid=3403672219213016438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,36539,Current,04/30/2027,DANNY HRNCIRIK,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,no
DAVID HERBORT PLUMBING AND GENERAL SERVICES LLC,david-herbort-plumbing-and-general-services-llc-fredericksbu,(830) 990-0996,"1800 CENTER POINT RD., FREDERICKSBURG, TX 78624-8119",Fredericksburg,TX,78624-8119,GILLESPIE,,False,https://maps.google.com/?cid=17102091726281081095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37094,Current,05/31/2027,DAVID HERBORT,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
DELLACO INC,dellaco-inc-midlothian,(972) 723-3811,"3031 ROBINSON RD STE F, MIDLOTHIAN, TX 76065",Midlothian,TX,76065,ELLIS,,False,https://maps.google.com/?cid=5329380573916361953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37929,Current,08/31/2026,TREVOR PALMER,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
"ED DAVILA PLUMBING, LLC",ed-davila-plumbing-llc-weimar,(979) 725-6298,"1035 SEDAN ROAD, WEIMAR, TX 78962",Weimar,TX,78962,COLORADO,,False,https://maps.google.com/?cid=6717714617597103694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,17070,Current,10/31/2026,EDWARD DAVILA,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
GENE FORD PLUMBING INC,gene-ford-plumbing-inc-denison,(903) 465-0888,"728 W. SHEPHERD, DENISON, TX 75020-5018",Denison,TX,75020-5018,GRAYSON,,False,https://maps.google.com/?cid=3126438691150690159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18940,Current,02/28/2027,MARK FOLTERMANN,high,tsbpe_verified,TSBPE license verified; Google phone/address match,True,yes,yes
