company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date,phone_valid,phone_e164,phone_national,phone_line_type,phone_region,phone_area_code,phone_flags,phone_validation_status,google_name,google_address,google_phone,google_website,google_maps_url,crossref_status,crossref_confidence,crossref_notes,recommended_phone,recommended_address,phone_match,city_match,address_match
BLACKMON PLUMBING SERVICES,(281) 427-8325,"4315  BARKALOO RD, BAYTOWN, TX 77521",4315  BARKALOO RD,BAYTOWN,TX,77521,HARRIS,38162,Current,05/31/2027,SHANE BLACKMON,https://www.blackmonplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12814278325,(281) 427-8325,landline_or_mobile,"Baytown, TX",281,,valid,Blackmon Plumbing,"4315 1/2 Barkaloo Rd, Baytown, TX 77521",(281) 427-8325,https://www.blackmonplumbing.com/,https://maps.google.com/?cid=4505587096918484015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: https://www.blackmonplumbing.com/,(281) 427-8325,"4315  BARKALOO RD, BAYTOWN, TX 77521",yes,yes,yes
IC PLUMBING LLC,(214) 223-5399,"1800 E.BELTLINE RD, CARROLLTON, TX 75006",1800 E.BELTLINE RD,CARROLLTON,TX,75006,DALLAS,15811,Current,02/28/2027,TERRY STOKES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12142235399,(214) 223-5399,landline_or_mobile,Texas,214,,valid,,,,,https://www.google.com/maps/search/?api=1&query=IC+PLUMBING+LLC+1800+E.BELTLINE+RD+TX,no_google_listing,low,Google Places: no matching listing found,(214) 223-5399,"1800 E.BELTLINE RD, CARROLLTON, TX 75006",,,
RILEY PLUMBING & MECHANICAL,(817) 237-8104,"6704 AZLE AVENUE, FORT WORTH, TX 76135",6704 AZLE AVENUE,FORT WORTH,TX,76135,TARRANT,18265,Current,06/30/2026,ROBERT RILEY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18172378104,(817) 237-8104,landline_or_mobile,"Fort Worth, TX",817,,valid,Riley & Associates Plumbing & Mech,"6704 Azle Ave, Fort Worth, TX 76135",(817) 237-8104,,https://maps.google.com/?cid=13268926982810398869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google,(817) 237-8104,"6704 AZLE AVENUE, FORT WORTH, TX 76135",yes,yes,yes
HERNANDEZ PLUMBING & SEWER INC,(210) 912-5119,"2747 BENRUS, SAN ANTONIO, TX 78228",2747 BENRUS,SAN ANTONIO,TX,78228,BEXAR,39327,Current,11/30/2026,ANTONIO HERNANDEZ,https://hernandezplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12109125119,(210) 912-5119,landline_or_mobile,"San Antonio, TX",210,,valid,Hernandez Plumbing,"3076 Avalon St, Riverside, CA 92509",(951) 235-9548,,https://maps.google.com/?cid=14128243594091060589&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (210) 912-5119 vs Google (951) 235-9548; Address differs; prefer Google street address; Manual review recommended,(951) 235-9548,"3076 Avalon St, Riverside, CA 92509",no,no,no
JAMES BRADFORD PLUMBING,(512) 247-4045,"334 MESA DR., DEL VALLE, TX 78617",334 MESA DR.,DEL VALLE,TX,78617,TRAVIS,38601,Current,06/30/2026,JAMES BRADFORD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15122474045,(512) 247-4045,landline_or_mobile,"Del Valle, TX",512,,valid,James Plumbing and Heating,"1159 Coriander Rd, Santa Fe, NM 87507",(505) 473-7148,https://www.jamesplumbingandheating.com/?utm_campaign=gmb,https://maps.google.com/?cid=4375208171494900994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (512) 247-4045 vs Google (505) 473-7148; Address differs; prefer Google street address; Google website: https://www.jamesplumbingandheating.com/?utm_campaign=gmb; Manual review recommended,(505) 473-7148,"1159 Coriander Rd, Santa Fe, NM 87507",no,no,no
ALTON HESS PLUMBING LLC,(903) 785-5683,"6001 COUNTY ROAD 660, FARMERSVILLE, TX 75442",6001 COUNTY ROAD 660,FARMERSVILLE,TX,75442,COLLIN,39355,Current,03/31/2027,ALTON HESS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19037855683,(903) 785-5683,landline_or_mobile,"Paris, TX",903,,valid,Alton Hess Plumbing,"5805 Jamar Rd, Reno, TX 75462",(903) 785-5683,,https://maps.google.com/?cid=4531044415536284610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone matches TSBPE and Google; Address differs; prefer Google street address,(903) 785-5683,"5805 Jamar Rd, Reno, TX 75462",yes,no,no
VICTORY PLUMBING COMPANY,(512) 990-7200,"1175 COUNTY ROAD 108, HUTTO, TX 78634",1175 COUNTY ROAD 108,HUTTO,TX,78634,WILLIAMSON,37550,Current,02/28/2027,LEE JOHNSON,https://www.victoryplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15129907200,(512) 990-7200,landline_or_mobile,Texas,512,,valid,"Victory Plumbing Services, LLC","500 Ponderosa Dr, Bel Air, MD 21014",(410) 877-4307,https://www.victoryplumbingservicesllc.com/,https://maps.google.com/?cid=16674471825594358577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (512) 990-7200 vs Google (410) 877-4307; Address differs; prefer Google street address; Google website: https://www.victoryplumbingservicesllc.com/; Manual review recommended,(410) 877-4307,"500 Ponderosa Dr, Bel Air, MD 21014",no,no,no
M. ROCHA PLUMBING,(915) 920-1549,"3114 HAMILTON, EL PASO, TX 79930",3114 HAMILTON,EL PASO,TX,79930,EL PASO,8379,Current,03/31/2027,MANUEL ROCHA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19159201549,(915) 920-1549,landline_or_mobile,Texas,915,,valid,Rocha Plumbing,"9777 E State Hwy 21, Bryan, TX 77808",(979) 279-9548,https://rochaplumbingllc.com/,https://maps.google.com/?cid=13547270002361827604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (915) 920-1549 vs Google (979) 279-9548; Address differs; prefer Google street address; Google website: https://rochaplumbingllc.com/; Manual review recommended,(979) 279-9548,"9777 E State Hwy 21, Bryan, TX 77808",no,no,no
"OMG BUILDERS, LLC.",(832) 444-8881,"2257  N. LOOP 336 W., SUITE #140-303, CONROE, TX 77304",2257  N. LOOP 336 W.,CONROE,TX,77304,MONTGOMERY,39314,Current,04/30/2027,JEFFREY HELMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18324448881,(832) 444-8881,landline_or_mobile,Texas,832,,valid,OMG CONSTRUCTION LLC.,"Industriplex Blvd, Baton Rouge, LA 70809",,,https://maps.google.com/?cid=10930305586779167629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Google listing has no phone; keeping TSBPE phone; Address differs; prefer Google street address; Manual review recommended,(832) 444-8881,"Industriplex Blvd, Baton Rouge, LA 70809",no,no,no
SAWYER PLUMBING SERVICE,(817) 382-7464,"601 CHISHOLM TR., DENTON, TX 76201",601 CHISHOLM TR.,DENTON,TX,76201,DENTON,16345,Current,11/30/2026,LARRY SAWYER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18173827464,(817) 382-7464,landline_or_mobile,Texas,817,,valid,Sawyer Plumbing Services,"301 Dallas Dr #113, Denton, TX 76205",(940) 382-7464,http://www.sawyerplumbingservices.com/,https://maps.google.com/?cid=7914693740758252984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (817) 382-7464 vs Google (940) 382-7464; Address differs; prefer Google street address; Google website: http://www.sawyerplumbingservices.com/,(940) 382-7464,"301 Dallas Dr #113, Denton, TX 76205",no,yes,no
