company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date,phone_valid,phone_e164,phone_national,phone_line_type,phone_region,phone_area_code,phone_flags,phone_validation_status
BLACKMON PLUMBING SERVICES,(281) 427-8325,"4315  BARKALOO RD, BAYTOWN, TX 77521",4315  BARKALOO RD,BAYTOWN,TX,77521,HARRIS,38162,Current,05/31/2027,SHANE BLACKMON,https://www.blackmonplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12814278325,(281) 427-8325,landline_or_mobile,"Baytown, TX",281,,valid
IC PLUMBING LLC,(214) 223-5399,"1800 E.BELTLINE RD, CARROLLTON, TX 75006",1800 E.BELTLINE RD,CARROLLTON,TX,75006,DALLAS,15811,Current,02/28/2027,TERRY STOKES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12142235399,(214) 223-5399,landline_or_mobile,Texas,214,,valid
RILEY PLUMBING & MECHANICAL,(817) 237-8104,"6704 AZLE AVENUE, FORT WORTH, TX 76135",6704 AZLE AVENUE,FORT WORTH,TX,76135,TARRANT,18265,Current,06/30/2026,ROBERT RILEY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18172378104,(817) 237-8104,landline_or_mobile,"Fort Worth, TX",817,,valid
HERNANDEZ PLUMBING & SEWER INC,(210) 912-5119,"2747 BENRUS, SAN ANTONIO, TX 78228",2747 BENRUS,SAN ANTONIO,TX,78228,BEXAR,39327,Current,11/30/2026,ANTONIO HERNANDEZ,https://hernandezplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12109125119,(210) 912-5119,landline_or_mobile,"San Antonio, TX",210,,valid
JAMES BRADFORD PLUMBING,(512) 247-4045,"334 MESA DR., DEL VALLE, TX 78617",334 MESA DR.,DEL VALLE,TX,78617,TRAVIS,38601,Current,06/30/2026,JAMES BRADFORD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15122474045,(512) 247-4045,landline_or_mobile,"Del Valle, TX",512,,valid
ALTON HESS PLUMBING LLC,(903) 785-5683,"6001 COUNTY ROAD 660, FARMERSVILLE, TX 75442",6001 COUNTY ROAD 660,FARMERSVILLE,TX,75442,COLLIN,39355,Current,03/31/2027,ALTON HESS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19037855683,(903) 785-5683,landline_or_mobile,"Paris, TX",903,,valid
VICTORY PLUMBING COMPANY,(512) 990-7200,"1175 COUNTY ROAD 108, HUTTO, TX 78634",1175 COUNTY ROAD 108,HUTTO,TX,78634,WILLIAMSON,37550,Current,02/28/2027,LEE JOHNSON,https://www.victoryplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15129907200,(512) 990-7200,landline_or_mobile,Texas,512,,valid
M. ROCHA PLUMBING,(915) 920-1549,"3114 HAMILTON, EL PASO, TX 79930",3114 HAMILTON,EL PASO,TX,79930,EL PASO,8379,Current,03/31/2027,MANUEL ROCHA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19159201549,(915) 920-1549,landline_or_mobile,Texas,915,,valid
"OMG BUILDERS, LLC.",(832) 444-8881,"2257  N. LOOP 336 W., SUITE #140-303, CONROE, TX 77304",2257  N. LOOP 336 W.,CONROE,TX,77304,MONTGOMERY,39314,Current,04/30/2027,JEFFREY HELMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18324448881,(832) 444-8881,landline_or_mobile,Texas,832,,valid
SAWYER PLUMBING SERVICE,(817) 382-7464,"601 CHISHOLM TR., DENTON, TX 76201",601 CHISHOLM TR.,DENTON,TX,76201,DENTON,16345,Current,11/30/2026,LARRY SAWYER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18173827464,(817) 382-7464,landline_or_mobile,Texas,817,,valid
