company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date
BLACKMON PLUMBING SERVICES,(281) 427-8325,"4315  BARKALOO RD, BAYTOWN, TX 77521",4315  BARKALOO RD,BAYTOWN,TX,77521,HARRIS,38162,Current,05/31/2027,SHANE BLACKMON,https://www.blackmonplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10
IC PLUMBING LLC,(214) 223-5399,"1800 E.BELTLINE RD, CARROLLTON, TX 75006",1800 E.BELTLINE RD,CARROLLTON,TX,75006,DALLAS,15811,Current,02/28/2027,TERRY STOKES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
RILEY PLUMBING & MECHANICAL,(817) 237-8104,"6704 AZLE AVENUE, FORT WORTH, TX 76135",6704 AZLE AVENUE,FORT WORTH,TX,76135,TARRANT,18265,Current,06/30/2026,ROBERT RILEY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
HERNANDEZ PLUMBING & SEWER INC,(210) 912-5119,"2747 BENRUS, SAN ANTONIO, TX 78228",2747 BENRUS,SAN ANTONIO,TX,78228,BEXAR,39327,Current,11/30/2026,ANTONIO HERNANDEZ,https://hernandezplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10
JAMES BRADFORD PLUMBING,(512) 247-4045,"334 MESA DR., DEL VALLE, TX 78617",334 MESA DR.,DEL VALLE,TX,78617,TRAVIS,38601,Current,06/30/2026,JAMES BRADFORD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ALTON HESS PLUMBING LLC,(903) 785-5683,"6001 COUNTY ROAD 660, FARMERSVILLE, TX 75442",6001 COUNTY ROAD 660,FARMERSVILLE,TX,75442,COLLIN,39355,Current,03/31/2027,ALTON HESS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
VICTORY PLUMBING COMPANY,(512) 990-7200,"1175 COUNTY ROAD 108, HUTTO, TX 78634",1175 COUNTY ROAD 108,HUTTO,TX,78634,WILLIAMSON,37550,Current,02/28/2027,LEE JOHNSON,https://www.victoryplumbing.com,True,domain_phone_verified,TSBPE Responsible Master Plumber Registry,2026-06-10
M. ROCHA PLUMBING,(915) 920-1549,"3114 HAMILTON, EL PASO, TX 79930",3114 HAMILTON,EL PASO,TX,79930,EL PASO,8379,Current,03/31/2027,MANUEL ROCHA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
"OMG BUILDERS, LLC.",(832) 444-8881,"2257  N. LOOP 336 W., SUITE #140-303, CONROE, TX 77304",2257  N. LOOP 336 W.,CONROE,TX,77304,MONTGOMERY,39314,Current,04/30/2027,JEFFREY HELMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SAWYER PLUMBING SERVICE,(817) 382-7464,"601 CHISHOLM TR., DENTON, TX 76201",601 CHISHOLM TR.,DENTON,TX,76201,DENTON,16345,Current,11/30/2026,LARRY SAWYER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
AG PLUMBING,(956) 499-1943,"1507 GUADALUPE ST, WESLACO, TX 78596",1507 GUADALUPE ST,WESLACO,TX,78596,HIDALGO,12517,Current,10/31/2026,ARMANDO GONZALEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
DABILA PLUMBING,(806) 781-8167,"1220 S. 13TH ST., SLATON, TX 79364",1220 S. 13TH ST.,SLATON,TX,79364,LUBBOCK,13476,Current,09/30/2026,ARTHUR DABILA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
BOYD PLUMBING COMPANY INC,(254) 897-3692,"4084 N. FM 199, CLEBURNE, TX 76033",4084 N. FM 199,CLEBURNE,TX,76033,JOHNSON,37328,Current,02/28/2027,JEFFREY BOYD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
DELLACO INC,(972) 723-3811,"3031 ROBINSON RD STE F, MIDLOTHIAN, TX 76065",3031 ROBINSON RD STE F,MIDLOTHIAN,TX,76065,ELLIS,37929,Current,08/31/2026,TREVOR PALMER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
FONSECA PLUMBING,(832) 687-1624,"3206 OYSTER COVE DR., MISSOURI CITY, TX 77459",3206 OYSTER COVE DR.,MISSOURI CITY,TX,77459,FORT BEND,38070,Current,02/28/2027,JOSE FONSECA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MOLINA PLUMBING,(361) 851-0262,"3842 APOLLO, CORPUS CHRISTI, TX 78413",3842 APOLLO,CORPUS CHRISTI,TX,78413,NUECES,6927,Current,11/30/2026,FABIAN MOLINA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
GOODWIN PLUMBING SERVICE INC,(254) 752-1501,"212  S. 22ND ST., WACO, TX 76701",212  S. 22ND ST.,WACO,TX,76701,MCLENNAN,14266,Current,04/30/2027,MICHAEL VORDERKUNZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
TOM LYNE PLUMBING & MECHANICAL INC & BENJAMIN FRANKLING PLUM,(979) 324-1200,"11184  DAN WILLIAMS LN, COLLEGE STATION, TX 77845",11184  DAN WILLIAMS LN,COLLEGE STATION,TX,77845,BRAZOS,37474,Current,09/30/2026,THOMAS LYNE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
PAISLEY PLUMBING,(512) 618-1890,"670 WHISPER RIDGE, WIMBERLEY, TX 78676",670 WHISPER RIDGE,WIMBERLEY,TX,78676,HAYS,37469,Current,08/31/2026,DANIEL MATTINGLY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
V&S CONSTRUCTION COMPANY LLC,(346) 256-0632,"9437 GATES LOOP, MANVEL, TX 77578",9437 GATES LOOP,MANVEL,TX,77578,BRAZORIA,10202,Current,08/31/2026,ALFRED GONZALES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MIMS PLUMBING,(210) 822-2619,"30581 PANTHER DR., BULVERDE, TX 78163",30581 PANTHER DR.,BULVERDE,TX,78163,COMAL,16045,Current,02/28/2027,G. MIMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
