company_name,slug,phone,address,city,state,zip,website,has_website,website_category,google_maps_url,business_status,source,discovery_city,discovery_query,license_number,license_status,license_expiration,county,contact_name,crossref_confidence,tsbpe_verified,phone_match,address_match,crossref_notes
Cooper Plumbing | Houston Plumber,cooper-plumbing-houston-plumber-houston,(832) 441-9683,"10825 Barely Ln, Houston, TX 77070",Houston,TX,77070,https://www.cooperplumbinghouston.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,True,dedicated_website,https://maps.google.com/?cid=9006747343253938931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
"Village Plumbing, Air & Electric",village-plumbing-air-electric-houston,(281) 344-2270,"10644 W Little York Rd #200, Houston, TX 77041",Houston,TX,77041,https://villageplumbing.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile,True,dedicated_website,https://maps.google.com/?cid=9249000149373724197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Texas Quality Plumbing,texas-quality-plumbing-houston,(713) 385-0349,"10814 Woodedge Dr, Houston, TX 77070",Houston,TX,77070,https://www.texasqualityplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,True,dedicated_website,https://maps.google.com/?cid=14623312515835596543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Houston Plumbing Services,houston-plumbing-services-houston,(713) 231-3309,"7807 Long Point Rd #330, Houston, TX 77055",Houston,TX,77055,https://www.houstonplumbingservices.com/,True,dedicated_website,https://maps.google.com/?cid=4448126442503983529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Nick's Plumbing & Air Conditioning,nick-s-plumbing-air-conditioning-houston,(713) 868-9907,"3780 Yale St, Houston, TX 77018",Houston,TX,77018,https://www.nicksplumbing.com/,True,dedicated_website,https://maps.google.com/?cid=8856770317913713033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
H-Town Plumbers,h-town-plumbers-houston,(832) 318-0390,"12145 Stone E Dr, Houston, TX 77035",Houston,TX,77035,https://www.htownplumbers.com/,True,dedicated_website,https://maps.google.com/?cid=18217117462865644183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Santhoff Plumbing,santhoff-plumbing-missouri-city,(713) 665-4997,"1519 5th St, Missouri City, TX 77489",Missouri City,TX,77489,https://www.santhoffplumbingco.com/?utm_source=gbp&utm_medium=organic&utm_campaign=houston,True,dedicated_website,https://maps.google.com/?cid=10759143821443331556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Quality Plumber Houston,quality-plumber-houston-houston,(832) 979-4659,"12 Greenway Plz Ste 1168, Houston, TX 77046",Houston,TX,77046,https://www.bestplumbingservicehouston.com/,True,dedicated_website,https://maps.google.com/?cid=3628693041246616866&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Luke's Plumbing & Air Conditioning,luke-s-plumbing-air-conditioning-houston,(713) 701-7245,"3548 E T C Jester Blvd, Houston, TX 77018",Houston,TX,77018,https://calllukes.com/?utm_source=google&utm_medium=gbp,True,dedicated_website,https://maps.google.com/?cid=126539935419287730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
All The Time Plumbing,all-the-time-plumbing-houston,(713) 705-3926,"13100 Wortham Center Dr, Houston, TX 77065",Houston,TX,77065,https://allthetimeplumbing.com/,True,dedicated_website,https://maps.google.com/?cid=11133889565003117105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Hugo Plumbing,hugo-plumbing-houston,(713) 409-7176,"7038 Cotton Dr, Houston, TX 77092",Houston,TX,77092,https://www.hugoplumbingtx.com/,True,dedicated_website,https://maps.google.com/?cid=17316930167024242353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Texas Plumbing,texas-plumbing-houston,(713) 478-5766,"10111 Woodwind Dr, Houston, TX 77025",Houston,TX,77025,https://www.texasplumbing911.com/,True,dedicated_website,https://maps.google.com/?cid=11563532656953128925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
All Around Plumbing LLC,all-around-plumbing-llc-houston,(713) 357-0154,"11111 Katy Fwy Suite 910, Houston, TX 77079",Houston,TX,77079,https://allaroundplumbingtx.com/,True,dedicated_website,https://maps.google.com/?cid=6671321120343714845&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
"Acacias Plumbing | Emergency Plumber, Drain Cleaning, Sewer Repair and Water Heater Installation Houston, TX",acacias-plumbing-emergency-plumber-drain-cleaning-sewer-repa,(832) 281-5575,"2950 North Loop West Freeway, Houston, TX 77008",Houston,TX,77008,https://www.acaciasplumbing.com/?utm_source=google&utm_medium=search_engine&utm_campaign=gmb,True,dedicated_website,https://maps.google.com/?cid=15447023396607622226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
Wedgeworth Plumbing,wedgeworth-plumbing-houston,(832) 867-5309,"9025 Ruland Rd Unit 003, Houston, TX 77055",Houston,TX,77055,http://www.wedgeworthplumbing.com/,True,dedicated_website,https://maps.google.com/?cid=1977902738146673419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,google_places,Houston,plumber in Houston Texas,,,,,,,False,,,
